index,comment,선호도,비속어,성,정치,국가,인종,지역,세대,사회계층,외모,기타혐오
191,팩트) 어딜가나 걸레창녀들은 있음 ㅇㅇ 잘 걸러와야하는거임.일본도 괜히 출산율이 1.2수준까지 떨어진게 아님. 한국상황으로 치면 페미니스트 안묻고 남자들도 너무 식물화 되었으니까.음.. 한 00년대 여자들 수준이라고 보면 됨. 김치녀 된장녀 소리정도만 나오고 정말 일부 여자들은 착하기도한 딱 그정도.,0,1,1,0,1,0,0,0,0,0,0
232,"윤두창, 개세훈, 국짐당ㅄ새끼들의 작품",0,1,0,1,0,0,0,0,0,0,0
238,흑인 새끼들은 영웅화할 게 없어서 설화 속 사람을 영웅화하네 ㅋㅋㅋ하긴 와칸다를 지들 명예조국으로 생각하는 인종들 수준 ㅋㅋㅋ,0,1,0,0,0,1,0,0,0,0,0
243,멍청한 보지새끼들 아무생각 없이 난간에 기대고 엘리베이터 문에 기대고 이지랄들 하니까 떨어져 병신되고 뒤지지 씨발 누울자리는 보고 뻗어야할거 아냐,0,1,1,0,0,0,0,0,0,0,0
270,소국놈들 이제 대국 엉덩이에 깔려 뒤질 날만 남았네 ㅋㅋ,0,1,0,0,1,0,0,0,0,0,0
274,조사결과 보니까 정작 여자들은 40대녀 빼고 특히 징병대상자인 20대녀들도 좋다고 여성징병하자는데?40대 50대 서윗86꿘충 방위병 새끼들만 개지랄앰창좆빨고있구만 ㅋㅋㅋ 걍 밀어붙혀라 씨발 한남 한녀 섞어서 존나 떡치면 낙태율이랑 설거지론만 대폭발할테고 여자만 대려다 놓으면 자살율 좆되서 안그래도 성격더러운 한년들중에 순한애들은 전부 자살할테니까 군무원들마냥 드론운용병 빌딩 GOP 도서지역 2인근무랑 탄약수송행정 기행부대에서 단말기에 QR코드나 찍고다니라고 해라,0,1,1,0,0,0,0,0,0,0,0
279,시덥지도 않은 선동에 휘말려서 거리 한복판에 촛불 한번만 더 켜봐라 확 염산부어버릴테니까,0,0,0,1,0,0,0,0,0,0,0
284,218.148 너같은 조선족들 중국으로 추방되면 100% 자1살하는데 중국인이 그럼 강물에 빠진 니 시체 건져다 니 어머니하고 가격협상함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ니 시체 띵띵불어서 물고기밥 되기전에 1천위안 내놓으라고 중국인이 니 어머니한테 협박함ㅋㅋㅋㅋㅋㅋㅋ1천위안 20만원밖에 안하는데도 니 어머니는 손이 부르트도록 일해도 그것이 월 소득의 전부이기에 발 동동구르며 통곡함ㅋ,0,1,0,0,0,1,0,0,0,0,0
287,니케하는 씨발것들은 다 이모양이노?어쩐지 근첩탓없어졌다했다,0,1,0,0,0,0,0,0,0,0,1
288,저능아 새끼들이 저런거 타는거구나,0,1,0,0,0,0,0,0,0,0,1
297,이제는 느그 심미안 갖고싶지않은게 아니라 그냥 느그들이랑 같은수준이 아니라 진심으로 다행이노 ㅋㅋㅋㅋㅋ,0,0,0,0,0,0,0,0,0,0,1
298,우리 여사님 우크라도 쇼핑해야지 ㅋㅋㅋ 개돼지들 어떻게되든 알빠노 ㅋㅋㅋ,0,1,0,1,0,0,0,0,0,0,0
311,조작질로 어차피 찢재명 대통령 확정이라고 생각하고 온동네 좌좀새끼들 풀트풀고 진짜 5년동안 제대로 해처먹엇구만,0,1,0,1,0,0,0,0,0,0,0
325,그러니깐 여미새 보빨 병신새끼가 알파메일이냐고?,0,1,1,0,0,0,0,0,0,0,0
328,역시 좆대남 씹북좆방단 답노 ㅋㅋㅋ 그저 징징원툴,0,1,0,1,0,0,0,0,0,0,0
330,좆사임당 좀 빼 시발,0,1,1,0,0,0,0,0,0,0,0
342,비혼 비출산하면 저런 헬좆센창녀한테 시달릴 일도 없고 싸울일도 없고 시간낭비 돈낭비도 없는데말이지,0,1,1,0,0,0,0,0,0,0,0
350,더불어? 이씨팔,0,1,0,1,0,0,0,0,0,0,0
351,천주교 욕하는새끼들 특 뒤질때 되면 하나님한테 죄송하다고 빔 ㅉㅉ 응 안봐줘 넌 지옥행이야,0,1,0,0,0,0,0,0,0,0,1
367,또 니거새끼에 똥양인도 껴있고 에휴,0,1,0,0,0,1,0,0,0,0,0
368,엠창 허벌 그녀는 대체? 똥인가 창녀인가,0,1,1,0,0,0,0,0,0,0,0
376,노노재팬하던민좆당 ㅇㄷ,0,1,0,1,1,0,0,0,0,0,0
383,근데 진지하게 한녀 유전자엔 열등감이란게 따로 존재함?한남들은 한녀들이 외국인이랑 결혼하든 말든 같이 다니든 말든 딱히 별 생각도 없는데왜 한녀들은 한남들이 외국인이랑 결혼하면 피가 거꾸로 솟고 폭력을 행사하려고 하냐,0,1,1,0,0,0,0,0,0,0,0
385,씨발 뚱돼지년들이 육수 흘리면서 지하철까지 타다니 애미 씹 ㅋㅋㅋ,0,1,1,0,0,0,0,0,0,1,0
391,애국 보수 틀딱들 부들거리는중 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,0,1,0,0,0,1,0,0,0
395,즈그애미 사고나서 장례치를때도 쪼갤새끼노ㅋㅋㅋ,0,1,0,0,0,0,0,0,0,0,1
409,4대강 욕하는 새리들... 마포 중량구 살아야하는데 지금쯤 씨발 똥물에서 튜브타고 인증하겠지,0,1,0,1,0,0,0,0,0,0,0
414,218.148 조선족과 개새끼 혼합교배로 태어난 저글링인듯 ㅋㅋㅋ 218.148 ,0,1,0,0,0,1,0,0,0,0,0
415,부자 엘리트만 지지하는 대통령 지지층 학력 떴다 씨발ㅋㅋㅋㅋㅋㅋ,0,1,0,1,0,0,0,0,1,0,0
423,계집련은 다리나 벌려라,0,1,1,0,0,0,0,0,0,0,0
430,건희 피의 실드질중인 틀딱특 : 정숙이 명품두른건 거품물고 달려들다 약먹을시간 지나서 기절함,0,1,0,1,0,0,0,0,0,0,0
441,bmi 35면 뱃살 젖탱이 빵디 출렁출렁하는데 어케 뛰어댕김?,0,1,1,0,0,0,0,0,0,1,0
449,간호법 빨던 찢갈이 새끼들 쿠퍼액 흘리면서 감동중이겠노,0,1,1,1,0,0,0,0,0,0,0
455,"헬조센 민도는 저런거 필요없다, 말을 안들어처먹음, 뒤지고 나서 나라탓은 오지고",0,1,0,0,0,1,0,0,0,0,0
478,틀딱 기성세대 병신들이 부동산 장난쳐서 집값 씹거품됨,0,1,0,0,0,0,0,1,0,0,0
496,팩트.ㅋㅋ 대사가 ㅈㄴ 유치함 트렌드 어거지로 처 따라갈려하는게 틀딱 쉰내 ㅈㄴ 남,0,1,0,0,0,0,0,0,0,0,1
498,"노괴 + 잦은 낙태 ,성병 이 일상인 한국 여성은난임에 시달린다",0,1,1,0,0,0,0,0,0,0,0
499,국민의힘 지지 안하던 좌파새끼면 그냥 평생 가둬놓던지 사형때리던지 해야지,0,1,0,1,0,0,0,0,0,0,0
524,진짜 한국새끼들은 숫자적은 짱개나 마찬가지 이케아 연필 이런것도 다 훔쳐가서 없어지고 ㅋㅋ,0,1,0,0,0,1,0,0,0,0,0
526,야 재들이랑 니들이랑 어째 말투가 똑같다? ㅋㅋ 당연히 똑같지 자칭 인터넷에서 애국보수라는 새끼들 죄다 일본 넷우익 사생아 새끼들인데 ㅋㅋ,0,1,0,1,1,0,0,0,0,0,0
531,저딴 단어하나가지고 발짝하는 능지니까 그딴 차별받고 사는거야 병신 앰흑깜둥이새끼들아 씨발 사탕수수나 쳐 날라야할 새끼들이,0,1,0,0,0,1,0,0,0,0,0
537,여기도 저거 옹호하는 늙포티 거지1찢련들 있넼ㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,1,0,0,0,0,0,0,0,0
541,한녀 씨발련들은 지들이 결혼못하게 알아서 패시브를 하나씩 만드네,0,1,1,0,0,0,0,0,0,0,0
547,마크롱 좆 병신새끼 저런 외노자 이민자들이 폭동하면 계엄령 선포하고 개조졌어야지,0,1,0,1,0,1,0,0,0,0,0
555,븅신한녀,0,1,1,0,0,0,0,0,0,0,0
556,개무섭겠네 ㅋㅋ 20대 한남이 80대 아줌마한테 그꼬라지 당할거 생각하니까 닭살 쫙 돋음,0,1,1,0,0,0,0,0,0,0,0
557,"저 씨발련 목적은 그냥 F4비자 아니냐 개종자새끼.. 한국은 검은머리외국인들과 한국국적의 국민들을 확실히 차별할 필요가 있다. 의무도 안지고 자유롭게 과실만 따쳐먹는 짱깨, 화교, 검은머리 외국인 씨발년들은 이익 존나보는데 왜 가만놔두는건지 개졏같음",0,1,0,0,0,1,0,0,0,0,0
560,좌빨들이 왜 한동훈한테 부들거리는 줄 알겠노 출산율 개쳐박고 나라 씹망하게 만들어서 짱깨한테 갖다 바칠 최고의 기회를 잡았는데 한동훈이 지들 존나 방해하니까 ㅋㅋㅋㅋㅋ,0,1,0,1,1,0,0,0,0,0,0
578,개좆본 꼬라지 씨발 ㅋㅋㅋㅋㅋ 날조와 조작의 민족 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 고대사 유물조차 날조하는 미친새끼들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,0,0,1,0,0,0,0,0,0
582,일본놈들  미국에 학살당하고도 찍소리도 못하고  미국똥만 받아처먹으며근데 일본놈들은 지들과 아무 상관도없는 우크라까지 나토까지 끌려다니면서  오히려 러시아가 돌려주기로 했던 섬들 러시아가 다 없던걸로 해버리고 공격 위협까지 받고 ㅋ 돈은 존나게 쓰고 대우는 전혀 못받고  ㅋㅋ 하는짓이 하도 호구ㅄ같으니  중국가서 대통령 기자단이 대가리깨지고도 찍소리못하던 더불어민주당이 일본가서 총리관저앞에서 난동부리는거지 뭐.... 진짜 일본놈들은 생각도없고 자존심도없고 그냥 ㅄ들이니까  자기들이 만든 기술 한국에 특허등록도 안해서 전부 도둑맞지...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,0,0,1,0,0,0,0,0,0
610,역시 한녀들이란....ㅉㅉ,0,1,1,0,0,0,0,0,0,0,0
614,얼마나 한녀의 심연을 보셨으면 ㄷㄷ,0,1,1,0,0,0,0,0,0,0,0
617,실베에서만 스무번 넘게 말한거 같은데 좆경충 새끼들 말에 1의 가치도 없다는게 그 증거가 짱깨한테는 찍소리도 못한다는 거임 ㅋㅋㅋㅋㅋㅋ 짱깨 머니 받고서 기타 1세계 국가들한테 겐세이 놓는게 목적인 단체거든 ㅋㅋㅋㅋㅋ,0,1,0,0,1,1,0,0,0,0,0
624,미친소리하노. 유재석도 영아살해하는 한녀들 보면 뺘마리 후림 병신아,0,1,1,0,0,0,0,0,0,0,0
625,핑두핑보라 핑핑이인가?,0,1,1,0,0,0,0,0,0,0,0
634,미국 한국에 풀리는 마약들 죄다 짱깨 북한산이 주류인데 ㅋㅋㅋㅋ 멍청한 좌파 새끼들,0,1,0,1,1,0,0,0,0,0,0
639,보한민국이 ㅈ으로 보이노,0,1,1,0,0,0,0,0,0,0,0
640,저런 인간들이 이딴 소리 하는건 지들이 한국 떠날때 개거렁뱅이 나라가 선진국 돼서 배아파서 지랄하는거임. 한국은 선진국 됐는데 지들은 해외에서 하층민으로 살고 있거든 ㅋㅋ 한국 좆같다고 떴는데 그게 인생 좆망길이었으니 빡칠만 하지 ㅋㅋ 그래서 사치가 심하네 교양이 없네 뭐 이런 개소리 씨부리는거임 ㅋㅋ,0,1,0,0,0,1,0,0,1,0,0
655,"개조센에서 태어나는 순간 무덤에 갈때까지 저 데모질하는걸 tv에서 보게됨 = > 평화로운 일상 불가,  정신병걸림",0,1,0,1,1,0,0,0,0,0,0
656,이순재 편드는 것도 아니고 국힘 전신당 국회의원이었다고 까대는게 좆주당 찢갈이들인데 선민의식이 왜쳐나오노 병신아,0,1,0,1,0,0,0,0,0,0,0
661,이러니까 너도 나도 대출해서 해처먹는거다...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  이놈이나 저놈이나 부동산주식코인투기사기치고 성공하면 다 처먹고. 실패해도 돈 안갚는 놈들이 무조건 승리자.좌빨들도 20년만에 수십 수백억 우습게 재산모으고 전부 떼부자 졸부된게 다 이런 원리  우빨새끼들 법인세깎아주고 세금 혜택받을때만 시장경제 시장운운하면서 왜 민간금고 민간기업들이 부정부패 무능으로 쓰러질때는 왜 이리 개입을 하냐?  국가개입좋아하는  이놈이나 저놈이나 진짜 지들 좃 편한대로 말장난 하는 나라.,0,1,0,1,0,0,0,0,1,0,0
666,병신들 안마방 아줌마한테 따로 보잔말 들어본적도 없는새끼들이 ㅉㅉ,0,1,1,,,,,,,,
668,니가 금천구사니까 거지조선족년아,0,1,,,,1,,,1,,
671,뭐 씨발 어쩌라고 ㅁㅈㅎ나 쳐먹어라,0,1,,,,,,,,,1
672,알았어 짱깨새끼야,0,1,,,,1,,,,,
680,자지돌 꼬추 남혐얘기나 하지,0,1,1,,,,,,,,
685,그러게 씨발 ㄹㅇ간첩인데 왜 안잡혀가냐 이재명도 그렇고 씨발 민주당소속 이 둘 새끼는 왜 안잡혀가는건데,0,1,,1,,,,,,,
686,이상하네분명 실베인간버러지쓰레기기생충들이 망한다고 울부짖었던거 같은데,0,1,,,,,,,,,1
688,페미는 그냥 나라 망칠려고 작정함,0,,1,,,,,,,,
691,노가더라고 생각하고 행동한 대가가 저거지 병신아 문제해결도 못하는 순간 너도 병신임 꼬우면 너가 직접 고치든가 ㅋㅋ,0,1,,,,,,,,,
700,쪽빠리 유사 짱깨 뒤진게 뭔 대수라고,0,1,,,,1,,,,,
705,좆플 좆이폰 = 변화를 싫어하는 틀딱 폰,0,1,,,,,,,,,1
708,ㄴ병신아 동남아 국결 욕하는 새끼들이 한녀인거고 이 한녀새끼야,0,1,1,,,,,,,,
710,헐리우드 배우 씹새끼들 맨날 민좆당 지지하더니 정작 민좆당 대통령되니까 대가리 ㅈㄴ꺠지노 ㅋㅋ엌ㅋㅋㅋ그래도 쟤들은 대가리 꺠진거알고 시위라도하지국내 좌빨 개돼지들은 대가리깨져도 문재인!!민주당!!이재명!! 외치고있으니 ㅋㅋ병신들 ㅋㅋㅋ,0,1,,1,,,,,,,
714,나 서울대의대인데 깝치지말고 살아라 고졸빡통새끼야 ㅇㅇ 물론 여기서 고졸은 노짱 말한거임,0,1,,1,,,,,1,,
715,그거 인종차별이야 병신아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 딱 보니 좆찐따같으니까 짱깨취급한거지 그걸 자랑이랍시고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,,,,1,,,,,
717,이거 조센징 얘기인데? 역시 조선은 소짱깨야wwwww,0,1,,,,1,,,,,
726,영화 내용 자체는 실화라잖아 ㅅㅂ 배우가 음모론 주장했다는 과거 이력으로 까내리는 건 별개의 일이고. 빡통 국평오새끼는 댓글도 못달게 해야함,0,1,,,,,,,,,1
727,인간쓰레기새끼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 평생을 사기치고 좌파 등에 업고 편하게 살다가 천지분간 못하고 장관자리까지 욕심내니까 탑이 다 무너지지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,,1,,,,,,,
735,병신년이노?,0,1,,,,,,,,,1
736,걍 쇼 원툴 병신,0,1,,,,,,,,,1
737,히틀러 오늘도 1승중 애미애비뒤진 병신 장애인새끼들 다죽어버렸으면 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,,,,,,,,,1
738,"그냥 대부분의 김치들은 자기 주관이란게 없어, 누군가 심어둔 사상 대로 움직이는 꼭두각시들이고, 노노재팬이니 이거도 그냥 문재앙이 꽂아둔 사상대로 움직인 것 뿐 개네들에게 반일이란건 없다고 보는게 맞아 ㅇㅇ",0,1,1,1,,,,,,,
749,목으로 넘기는 장면이 다 보이는데 먹뱉 맞음 이러네 저능아새끼가,0,1,,,,,,,,,1
751,동성애=소아성애=퍼리충 다 동급임 존재할 가치가 없는 쓰레기들,0,1,1,,,,,,,,
754,물은 물이고 여행은 여행이지 저능아씹새야 ㅋㅋㅋㅋ 여행은 자유지 반ㅇ리도~!,0,1,,,,,,,,,1
763,ㄴㄴ 짱꼴라들,0,1,,,,1,,,,,
780,"어디서 병신같은거 쳐줏어보고 병신같은 소리만 씨부려대고있네 ㅋㅋㅋ 독일이 먼 넘사벽으로 높은 기술을 가지고 있었다? ㅋㅋ 지랄염병하고있네, 산업혁명 이후 지구상에 나돌아댕기는 기술들 90%는 다 영미권에서 흘러나온 기술들이고, 독일얘들은 미영프가 싼 기술 응용과학으로 덧붙이는게 태반이다. 2차대전때 미국이 개나소나 자동차 굴릴때 차도 없어서 당나귀 타고 다니던게 독일애들이고. 또 뭔 병신같은 외계인 나치물 쳐줏어보고 지랄똥싸고있네 저능아새끼들한테 인터넷 다 뺏어버려야하는데 ㅋㅋ",0,1,,,1,,,,,,
781,이 병신새끼는 범죄자 개슬람 흑인이 검문 거부하고 도망가다 총맞고 뒤진걸 혁명 ㅇㅈㄹ하네 ㅋㅋㅋㅋ 아따 범죄자라도 사회혼란 일으키면 우리편이랑게,0,1,,,1,,,,,,
787,역시 개조센은 똥이랑 어울린다,0,1,,,1,,,,,,
791,ㅋㅋㅋ 이 병신들 윤두창 실수 아직도 인정못하고 이러고있노대깨문보다 짠하네,0,1,,1,,,,,,,
804,애미뒤진 새끼가 애미 뒤진 짓 했노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,,,,,,,,,1
807,어매터진쇼닥터새끼 ㅋㅋ,0,1,,,,,,,,,1
808,"문재앙 대단하노. 마약,불체자,보이스피싱,짱깨 투표권 다 방치했노. 조선인의 안락사, 훠어!",0,1,,1,,1,,,,,
818,"좆냥이가 뭔 죄냐 다 캣맘, 캣대디 애미없는 시발창놈년들이 문제지 좆냥이 혐오 하기 전에 인간 혐오부터 해라",0,1,,,,,,,,,1
823,국회 본회의 국민돈으로 2500억 씨~~~~~~~발 ㅋㅋㅋ 짱깨새끼들 그와중에 실베까지 기어와서 쉴드,0,1,,1,,1,,,,,
831,읽었으니까 올리지 병신새기야 장사를 하루이틀하노? 니같은새기들이 사업이나 장사 한번 해보지도않고 커뮤에다가  십선비질 하고자빠져있지 ㅋㅋㅋㅋㅋ,0,1,,,,,,,,,1
845,이걸 돈자랑때문이라고 생각하는ㅋㅋ너같은 병신저능아새끼는 뭔 짓을 했길래 그런 지능을 병신부모한테 물려받은거임?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,,,,,,,,,1
846,광우병은 이미 선동 주도한 사람이 이명박 탄핵이 목적이었다고 밝힌게 언젠데 ㅋㅋㅋㅋㅋ누가 광우병이 없다했냐? 광우병에 걸릴거라는게 날조라는거지 병신아 그리고 사드 선동 당한 머저리들이랑 싸운다는데 사드를 도입한 박근혜가 왜 튀어나와 좆씨발대가리빠가년아 사드를 선동한건 민주당 씹쓰레기새끼들인데,0,1,,1,,,,,,,
849,한남들은 여성혐오가 너무 심하고 이기적임 ㅎㅎ,0,1,1,,,,,,,,
854,좌빨넘들은  진짜  조슬 가만히 두질 않네.,0,,,1,,,,,,,
857,애미뒤진 님비충새끼들 신경쓰지말고 그냥 소방서 할 일 해라,0,1,,,,,,,,,1
858,니가 틀딱 할배인데?,0,1,,,,,,1,,,
867,기술력드립치는 새끼들은 뭐임? ㅅㅂ놈들이 똥시노스맛을 보고도 대가리가 덜깨졌나...,0,1,,,,,,,,,1
870,글좀 읽어라 조선족아,0,,,,,1,,,,,
872,스펙남이면 뭐해 나오는 한녀가 3040 아주매미면 ㅈ같은데,0,1,1,,,,,,,,
897,소방차건은 중앙선 불법 유턴인데 버스가 우회전하는 상황이라서 소방차과실이 더 큰건인데 디시 이 븅신들 능지는 문재앙 수준이 딱 맞구나 ㅋㅋ,0,1,,1,,,,,,,1
917,문재인 4대강 허버허버 해체하고 책팔이질 ㅋㅋㅋㅋ문재인 4대강 허버허버 해체하고 책팔이질 ㅋㅋㅋㅋ문재인 4대강 허버허버 해체하고 책팔이질 ㅋㅋㅋㅋ,0,,,1,,,,,,,
918,저 진드기도 짱깨국에서 왔다.👿,0,1,,,1,,,,,,
927,알페스충년들 때문에 게이짓까지 해야되는 극한직업 맞긴 해 ㅋㅋ,0,1,1,,,,,,,,
929,"기시다바리 윤굥이 핵 처리수 태평양 배출 찬성한거 일본을 대신해 쉴드치고, 또 김거니  하이웨이 탄로나니 민주당 생떼로 몰아가는 선동선전 일인자,국짐당도 그럼 빨갱이집단 인정?",0,,,1,,,,,,,
930,걍 어떤분야든 한녀들 득실거리면 좆된거임 ㅋㅋㅋㅋㅋ,0,1,1,,,,,,,,
934,꼴좋다. 누가 한녀랑 결혼하래?,0,1,1,,,,,,,,
935,돈도 안보탯으면서 갑질하는 또라이년은 욕먹어도 싸지,0,1,1,,,,,,,,
940,여혐 충전 완료!,0,,1,,,,,,,,
964,개씨발 조센징새기들 또 폭탄 만들어서 테러했냐100년전에 황본께서 통치할때도 도시락폭탄같은거나 만들면서 테러를 일삼더만,0,1,,,,1,,,,,
968,보지장사 안되는게 본인들탓이지 왜 외국여자들에게 화풀이노?,0,1,1,,,,,,,,
977,‘방데 대학살’이거 하나로 럭키 천안문이라 불러도 됨ㄹㅇ 역겨운 새끼들,0,1,,,1,,,,,,
981,여성단체 뭐하냐?? 유독 민주당한텐 조용하네 미친년들,0,1,1,1,,,,,,,
